"c_table","c_facet"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BW""]}]}"
"Protocol:Reference","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Reference_Consortium_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BW""]}]}"
"Common:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""14-4KG6""]}]}"
"Common:Gene","{""and"": [{""source"": [{""inbound"": [""Common"", ""Gene_Collection_NCBI_GeneID_fkey""]}, {""outbound"": [""Common"", ""Gene_Collection_Collection_RID_fkey""]}, ""RID""], ""choices"": [""14-4KG6""]}]}"
"Gene_Expression:Specimen","{""and"": [{""source"": [{""inbound"": [""Gene_Expression"", ""Specimen_Collection_Specimen_RID_fkey""]}, {""outbound"": [""Gene_Expression"", ""Specimen_Collection_Collection_RID_fkey""]}, ""RID""], ""choices"": [""14-4KG6""]}]}"
"Common:Publication","{""and"": [{""source"": [{""inbound"": [""Common"", ""Publication_Collection_Publication_RID_fkey""]}, {""outbound"": [""Common"", ""Publication_Collection_Collection_RID_fkey""]}, ""RID""], ""choices"": [""14-4KG6""]}]}"
"RNASeq:Study","{""and"": [{""source"": [{""inbound"": [""RNASeq"", ""Sequencing_Study_Collection_Sequencing_Study_RID_fkey""]}, {""outbound"": [""RNASeq"", ""Sequencing_Study_Collection_Collection_RID_fkey""]}, ""RID""], ""choices"": [""14-4KG6""]}]}"
"Antibody:Antibody_Tests","{""and"": [{""source"": [{""inbound"": [""Antibody"", ""Antibody_Tests_Collection_Antibody_Tests_RID_fkey""]}, {""outbound"": [""Antibody"", ""Antibody_Tests_Collection_Collection_RID_fkey""]}, ""RID""], ""choices"": [""14-4KG6""]}]}"
"Protocol:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""N-H9BP""]}]}"
"Protocol:Keyword","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Keyword_Keyword_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Keyword_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BP""]}]}"
"Protocol:Figure","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Figure_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BP""]}]}"
"Protocol:Reference","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Reference_Consortium_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BP""]}]}"
"Protocol:Protocol_Author","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Protocol_Author_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BP""]}]}"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9BP""]}]}"
"Protocol:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""N-H9AT""]}]}"
"Protocol:Keyword","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Keyword_Keyword_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Keyword_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9AT""]}]}"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9AT""]}]}"
