"c_table","c_facet","c_cid"
"Zebrafish:Behavior","{""and"": [{""search"": [""BhvZfCDS20190628B1""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""20190611C""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""20190611C""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""20190611C""], ""source"": ""*""}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""search"": [""20190611C""], ""source"": ""*""}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol Step",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Synapse:Protocol Step",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Synapse:Protocol Step",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol Step",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Synapse:Protocol Step",NULL,"recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Image Step_fkey""]}, ""Sub-Label""], ""choices"": [""3HrRetention""]}]}","recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
